Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
3;AWS;68;466;214531;59005;43784;65296;46446;;;;;;;;
3;AWS;69;512;213688;61726;44962;68216;38784;;;;;;;;
3;AWS;70;470;220609;67428;43258;62373;47550;;;;;;;;
3;AWS;71;523;218834;67927;38202;65403;47302;;;;;;;;
3;AWS;72;450;212737;65834;41793;59085;46025;;;;;;;;
3;AWS;73;496;207467;63240;43021;61455;39751;;;;;;;;
3;AWS;74;502;217433;63352;40679;66978;46424;;;;;;;;
3;AWS;75;515;210568;59944;45576;60681;44367;;;;;;;;
3;AWS;76;469;210857;66266;41383;64507;38701;;;;;;;;
3;AWS;77;533;212670;66803;39626;60734;45507;;;;;;;;
3;AWS;78;461;217739;61169;45201;67626;43743;;;;;;;;
3;AWS;79;532;219819;67552;38930;68534;44803;;;;;;;;
3;AWS;80;557;207289;64226;42030;62383;38650;;;;;;;;
3;AWS;81;484;216978;68191;38185;67017;43585;;;;;;;;
3;AWS;82;481;224893;70065;45799;62913;46116;;;;;;;;
3;AWS;83;513;223352;68851;44279;66656;43566;;;;;;;;
3;AWS;84;495;216366;64773;43489;69566;38538;;;;;;;;
3;AWS;85;449;207192;59686;41230;67326;38950;;;;;;;;
3;AWS;86;499;224042;61618;46177;69995;46252;;;;;;;;
3;AWS;87;535;222754;70498;41638;70794;39824;;;;;;;;
3;AWS;88;442;215267;67547;45442;60833;41445;;;;;;;;
3;AWS;89;515;217008;69309;40853;66731;40115;;;;;;;;
3;AWS;90;476;232494;66434;47602;70569;47889;;;;;;;;
3;AWS;91;441;215260;65933;42403;59182;47742;;;;;;;;
3;AWS;92;502;218688;70545;42629;67432;38082;;;;;;;;
3;AWS;93;449;218848;69563;41414;62773;45098;;;;;;;;
3;AWS;94;494;211642;61237;40926;63154;46325;;;;;;;;
3;AWS;95;455;208598;63406;42605;59612;42975;;;;;;;;
3;AWS;96;532;210003;60190;39036;69571;41206;;;;;;;;
3;AWS;97;486;216673;61138;47892;65249;42394;;;;;;;;
3;AWS;98;486;219815;65748;41759;67635;44673;;;;;;;;
3;AWS;99;499;221526;63090;44916;66479;47041;;;;;;;;
3;AWS;100;470;220625;60274;45617;71882;42852;;;;;;;;
4;IBM;1;740;318431;67766;43589;63784;42677;58967;41648;;;;;;
4;IBM;2;696;326876;62901;47232;67590;44254;66165;38734;;;;;;
4;IBM;3;775;319307;61376;42644;61079;45646;61483;47079;;;;;;
4;IBM;4;755;327420;67732;46489;68431;39639;62397;42732;;;;;;
4;IBM;5;750;342226;70829;50610;70044;38846;69791;42106;;;;;;
4;IBM;6;679;322419;62453;41179;69133;39414;64935;45305;;;;;;
4;IBM;7;692;322856;60894;42976;60803;39885;67470;50828;;;;;;
4;IBM;8;695;325193;61957;41336;65290;43202;69823;43585;;;;;;
4;IBM;9;804;324749;63885;42682;67768;39551;65062;45801;;;;;;
4;IBM;10;794;327033;60922;39236;65673;50538;64085;46579;;;;;;
4;IBM;11;783;332331;65773;45481;64746;46904;68402;41025;;;;;;
4;IBM;12;736;329076;62515;47615;64581;47719;59753;46893;;;;;;
4;IBM;13;781;330176;61199;50545;66599;39774;66893;45166;;;;;;
4;IBM;14;721;313993;69055;42131;61662;42714;59737;38694;;;;;;
4;IBM;15;725;333803;65464;40138;68696;42880;66018;50607;;;;;;
4;IBM;16;730;322947;64148;40168;63217;47552;69810;38052;;;;;;
4;IBM;17;743;322372;66753;47746;59167;39046;67015;42645;;;;;;
4;IBM;18;779;323707;63185;47603;69508;39815;62653;40943;;;;;;
4;IBM;19;706;323988;66249;38315;62264;48878;65629;42653;;;;;;
4;IBM;20;710;332555;61674;41496;70709;44531;70182;43963;;;;;;
4;IBM;21;774;308144;59879;40640;66062;38924;64120;38519;;;;;;
4;IBM;22;743;337088;67136;40200;68102;46507;68096;47047;;;;;;
4;IBM;23;673;310829;59346;39194;67176;39127;61715;44271;;;;;;
4;IBM;24;638;326349;68715;46302;61653;40233;62751;46695;;;;;;
4;IBM;25;741;310171;59067;40216;65116;41694;59865;44213;;;;;;
4;IBM;26;704;320103;59672;38795;66122;44447;70659;40408;;;;;;
4;IBM;27;796;319834;59024;43284;61958;44260;66259;45049;;;;;;
4;IBM;28;793;322340;70014;45956;59109;38276;65928;43057;;;;;;
